あっけにとられる,あっけにとられる
あんぐろさくそん,アングロサクソン
いきあたりばったり,行き当りばったり
いんてりげんちゃ,インテリゲンチャ
いんとねえしょん,イントネーション
いんふれえしょん,インフレーション
うんとこどっこい,ウントコドッコイ
おおとめえしょん,オートメーション
おきあがりこぼし,起き上がり小法師
おしあいへしあい,押し合いへし合い
おしつけがましい,おしつけがましい
おっちょこちょい,おっちょこちょい
おっちょこちょい,おっちょこちょい
きゃっちふれえず,キャッチフレーズ
ぎゅうぎゅうづめ,ぎゅうぎゅう詰め
こんくりいとづくり,コンクリート造り
こんびねえしょん,コンビネーション
しゃなりしゃなり,しゃなりしゃなり
しょうこりもなく,しょうこりもなく
しょおうぃんどお,ショーウィンドー
すってんころりん,すってんころりん
ちんぷんかんぷん,ちんぷんかんぷん
どうやらこうやら,どうやらこうやら
なんとかかんとか,なんとかかんとか
にっちもさっちも,にっちもさっちも
のっぴきならない,のっぴきならない
ぱあそなりてぃい,パーソナリティー
ばすけっとぼおる,バスケットボール
ばったあぼっくす,バッターボックス
はんでぃきゃっぷ,ハンディキャップ
ほうほうのていで,ほうほうのていで
れくりええしょん,レクリエーション
ろおらあすけえと,ローラースケート
